date,yoy,ann_3m
1996-05-01,1.945606112304521,2.2837370885601116
1996-06-01,1.93766031371847,1.661068630820206
1996-07-01,1.9161291268325442,1.6564118604277756
1996-08-01,1.6933983012818121,1.1124896845871035
1996-09-01,1.8119108305936882,1.981396215824005
1996-10-01,1.7681142189367005,2.1798997091840855
1996-11-01,1.8442897762279697,2.5137868193630952
1996-12-01,1.7890932220675282,1.5115299741392363
1997-01-01,1.89090681810975,1.4000221086425624
1997-02-01,1.8722040803300866,1.5848964702357637
1997-03-01,1.925384732168678,2.550655367745569
1997-04-01,1.9631648392840484,2.6206899307771536
1997-05-01,1.872639425360867,2.2854855145418407
1997-06-01,1.9723612487218878,1.8486170224620402
1997-07-01,1.8608108477754515,1.2488418214946506
1997-08-01,1.806869077582296,0.8516241085598342
1997-09-01,1.7286544849046903,1.0099721853411348
1997-10-01,1.5969807052671037,1.1253790775670014
1997-11-01,1.499926661321993,1.2830716915162022
1997-12-01,1.556834302480814,0.8274517004074999
1998-01-01,1.5502524520405014,1.2136001132356355
1998-02-01,1.530882120723187,1.7088786679940515
1998-03-01,1.3663118679557495,1.7832707453958374
1998-04-01,1.3196356896064687,1.6916698395427865
1998-05-01,1.3563046276335644,1.5837978973217037
1998-06-01,1.0491412196033334,0.5798683221160061
1998-07-01,1.3377316343504697,1.3211944052594626
1998-08-01,1.6082589192367047,1.8581684584846103
1998-09-01,1.3883554042915636,2.373147918594598
1998-10-01,1.5329055768165123,1.9066924704296717
1998-11-01,1.546980822640509,1.038964698946221
1998-12-01,1.6420478803884198,1.8404016296516224
1999-01-01,1.669100555672709,1.7577604509263711
1999-02-01,1.5220523929113439,1.6090427441321165
1999-03-01,1.4684786309720588,1.089807929356268
1999-04-01,1.5766059506979735,1.3221139828972994
1999-05-01,1.5413855771153617,1.6611997740892726
1999-06-01,1.7177616345875224,1.5719163020346594
1999-07-01,1.5132473531711765,1.0686336945535446
1999-08-01,1.2600345849796746,0.7339368576252836
1999-09-01,1.4989607419813478,1.4951432933991704
1999-10-01,1.4292020811852657,1.5696272971183367
1999-11-01,1.504089581753254,2.0165806692286514
1999-12-01,1.4159524055692652,1.5076597940530512
2000-01-01,1.490283554954308,2.003099294203192
2000-02-01,1.6598394054216925,2.234123072043892
2000-03-01,1.7830912285595302,2.5616085763298546
2000-04-01,1.5634959922639746,1.614794987929713
2000-05-01,1.5474172939198505,1.212250713150964
2000-06-01,1.509073139069761,0.4825271505401352
2000-07-01,1.686805328451535,1.560362382844227
2000-08-01,1.8433196434128662,1.9132065168640633
2000-09-01,1.81549700542456,2.7262309558286235
2000-10-01,1.8493226080981362,2.2205056011665336
2000-11-01,1.9079172523807753,2.2756570538685628
2000-12-01,1.8408175546894778,1.6086734402200653
2001-01-01,1.8953279051799,2.187523235295785
2001-02-01,1.9144624598572024,2.2603902368642625
2001-03-01,1.872926080408921,2.6910128695987856
2001-04-01,2.015958580265953,2.096844412590859
2001-05-01,1.9497740669917496,1.3525968447743342
2001-06-01,2.1761821305791296,1.684348647284506
2001-07-01,2.1053634645255004,1.9168531064621241
2001-08-01,2.0282428957558274,2.2273316823384404
2001-09-01,1.9297971224423893,1.7389636200945136
2001-10-01,1.8730733948953526,1.2934670559351824
2001-11-01,1.9635179759856847,2.016376409138365
2001-12-01,1.9586254018084226,1.7236720458557508
2002-01-01,1.6699227065206435,1.3748471816313446
2002-02-01,1.6508896998139955,1.0119924194488927
2002-03-01,1.579721050750993,1.1729967672948538
2002-04-01,1.6508026059514957,2.020064524103571
2002-05-01,1.724397745517603,1.6460843530295532
2002-06-01,1.6165735598911324,1.8319908381408956
2002-07-01,1.5565391403669526,1.5393379072499158
2002-08-01,1.6893267124080902,2.0864268629658067
2002-09-01,1.7677639287369873,2.3458061477673597
2002-10-01,1.7189309257411356,1.9429071943108722
2002-11-01,1.5878667521485479,1.6098402549486135
2002-12-01,1.65523328352295,1.2744902023871907
2003-01-01,1.6995774512735151,1.2977171671959775
2003-02-01,1.6341451804386065,1.1961825868683107
2003-03-01,1.6536633415952906,1.1667469346028803
2003-04-01,1.4788327953555669,1.1371830803696081
2003-05-01,1.572578413903103,1.4000120645655922
2003-06-01,1.5142601214723994,1.2745477462599908
2003-07-01,1.5919689420704985,1.992910126224956
2003-08-01,1.5002182337660486,1.7958325953161047
2003-09-01,1.3656378133169556,1.7477621597695059
2003-10-01,1.4489220944481573,1.3699547873027518
2003-11-01,1.4080103383696585,1.2411131646277829
2003-12-01,1.3942127212440703,1.388735353389503
2004-01-01,1.5805058934311056,1.8242912635452635
2004-02-01,1.6830252485398267,2.298418065706609
2004-03-01,1.7927615596797342,2.766768837631539
2004-04-01,1.906523849818309,2.441827632903437
2004-05-01,1.860885176248006,2.1113352430375265
2004-06-01,1.9630128603060237,1.9537877384790514
2004-07-01,1.8386459394860166,1.7214397063472608
2004-08-01,1.768553093432934,1.4272416765643614
2004-09-01,1.8830465965777643,1.4289476601854423
2004-10-01,1.9371201504100322,1.7626078656811872
2004-11-01,2.0545308490083514,2.383901318371584
2004-12-01,2.063497801068359,2.1089487520027816
2005-01-01,2.096306267356307,2.4618223734828915
2005-02-01,2.106236319361199,2.5058918114867934
2005-03-01,2.1225125901999986,3.004660795729741
2005-04-01,2.034353634767494,2.193404676167998
2005-05-01,2.120170466216864,2.167086024730014
2005-06-01,2.0252169345486237,1.565803026063084
2005-07-01,2.0045978790265595,1.6028335926763448
2005-08-01,2.045366732670484,1.130383418246872
2005-09-01,2.111909843965698,1.7741323034073941
2005-10-01,2.144891736995236,2.3236080432148087
2005-11-01,2.2148006812898746,3.0655809174630733
2005-12-01,2.2043177876838627,2.4790718533624023
2006-01-01,2.1353464283164536,2.4235280399796055
2006-02-01,2.074639436581127,1.944805604194344
2006-03-01,2.1410261104270356,2.749748495361848
2006-04-01,2.280210384518244,2.774424566058742
2006-05-01,2.34138029226143,3.2392091301561177
2006-06-01,2.5031020703575324,3.0136263189939783
2006-07-01,2.5170881371778364,2.5473443303764665
2006-08-01,2.6565516295218528,2.3819177230422817
2006-09-01,2.5751803719434196,2.0606972007772173
2006-10-01,2.493078531703685,2.2277845437621124
2006-11-01,2.2630309903280743,1.494290443047075
2006-12-01,2.2701074131684873,1.2653514806694854
2007-01-01,2.4617703516495393,2.298437632030703
2007-02-01,2.535393800039243,3.035213212789589
2007-03-01,2.3239293185675747,2.9662166106352084
2007-04-01,2.1998276683426132,1.727479963068057
2007-05-01,2.0616968240706246,1.34459505276594
2007-06-01,1.9820212238531365,1.643661259491891
2007-07-01,1.9760874890520475,1.6522850411472056
2007-08-01,1.8794994547141952,1.6527969646766616
2007-09-01,1.9653444795892927,1.9939551347086137
2007-10-01,2.148788341250407,2.9220541672210887
2007-11-01,2.321178047255934,3.2658033620093896
2007-12-01,2.4632083007527728,3.2576679355359905
2008-01-01,2.299086370528536,2.9018406095939753
2008-02-01,2.207192182265305,2.5768546391896407
2008-03-01,2.335547526863979,2.454024904198482
2008-04-01,2.352625790682006,1.940608257973997
2008-05-01,2.410339080271373,2.152730042038753
2008-06-01,2.481150071440763,2.223369530959518
2008-07-01,2.5875569667611176,2.588797967465739
2008-08-01,2.6603272959089486,2.6489932791705195
2008-09-01,2.6423190640200156,2.6370814694483435
2008-10-01,2.43912495727856,2.3276817543419925
2008-11-01,2.2943099489329377,1.800956398794007
2008-12-01,2.071692461355301,0.9805549041382422
2009-01-01,2.047838413952574,1.3386098682712788
2009-02-01,2.1211113008820615,1.8839088625923317
2009-03-01,2.154546249059819,2.787086700808805
2009-04-01,2.2465309612217377,2.736865077582684
2009-05-01,2.1516686641213534,2.275052229090835
2009-06-01,2.025353923497497,1.7072322239606752
2009-07-01,1.8489800456981786,1.00255254821211
2009-08-01,1.821937296841658,1.3300498855115528
2009-09-01,1.7512882177213918,1.538681419592014
2009-10-01,1.8381608166565533,2.2842083595429274
2009-11-01,1.814217187545597,1.770085835789148
2009-12-01,1.8580979644104767,1.4052257826444148
2010-01-01,1.6720856371780002,0.6791830318064962
2010-02-01,1.5159049135234692,0.6950806061494008
2010-03-01,1.3628148279204222,0.8024198004902061
2010-04-01,1.1875967087176198,0.7925665766069345
2010-05-01,1.2060001054909897,1.0318702146201675
2010-06-01,1.1930356053858393,1.02751791747957
2010-07-01,1.1808642946032233,0.975674821228889
2010-08-01,1.0857392811227884,0.8492747562920622
2010-09-01,0.9791195848408707,0.6828133059802566
2010-10-01,0.7962591147856912,0.7378565578826324
