date,core,mkt,wedge
1996-05-01,1.8643527639355728,1.655091296068112,0.20926146786746092
1996-06-01,1.8540496728999045,1.6583167734893323,0.19573289941057226
1996-07-01,1.884365832863688,1.6233811592785585,0.26098467358512956
1996-08-01,1.728487609381979,1.4231750324082526,0.3053125769737264
1996-09-01,1.9033084741858497,1.5406240431987017,0.362684430987148
1996-10-01,1.8972525026211162,1.5024439013552549,0.39480860126586137
1996-11-01,1.964921345734294,1.5687254452820154,0.3961959004522786
1996-12-01,1.8603984520567662,1.4756872208815164,0.38471123117524986
1997-01-01,1.8539993414365297,1.5649040127521108,0.2890953286844189
1997-02-01,1.9302259079210904,1.5667603216564352,0.3634655862646552
1997-03-01,1.937177255998379,1.6229730103041407,0.31420424569423844
1997-04-01,1.9986609114349463,1.6816576536806016,0.3170032577543447
1997-05-01,1.8956469801902687,1.5716686410093939,0.3239783391808748
1997-06-01,1.968084350532151,1.6643035116941762,0.3037808388379748
1997-07-01,1.8466775405999725,1.5562062660672948,0.2904712745326776
1997-08-01,1.7175410254230083,1.4774195321733963,0.24012149324961207
1997-09-01,1.6205142695676855,1.4048601307548036,0.21565413881288187
1997-10-01,1.5335175057788808,1.2681605515882932,0.2653569541905876
1997-11-01,1.431567686265689,1.1795579732925,0.2520097129731891
1997-12-01,1.4521303540271147,1.265615176448076,0.18651517757903857
1998-01-01,1.4983695041043354,1.259655539481952,0.23871396462238348
1998-02-01,1.3774722962547337,1.2169030974476414,0.1605691988070923
1998-03-01,1.24405261684859,1.0615307245864791,0.1825218922621108
1998-04-01,1.2318435754190116,1.0121155385512948,0.2197280368677168
1998-05-01,1.256071009881099,1.0564287554753804,0.1996422544057186
1998-06-01,0.9796817079628761,0.7555651844228795,0.22411652353999667
1998-07-01,1.1948695809600896,1.0233779594709835,0.17149162148910602
1998-08-01,1.4335868929198359,1.2812004821430856,0.1523864107767503
1998-09-01,1.2067790954717994,1.0515502932987308,0.15522880217306856
1998-10-01,1.2507635071353107,1.2009456264775453,0.04981788065776538
1998-11-01,1.2378916983540877,1.2117364169345946,0.026155281419493193
1998-12-01,1.3536754507628368,1.3051341575338826,0.048541293228954174
1999-01-01,1.3433042514887417,1.3302424626332465,0.013061788855495138
1999-02-01,1.2217733008633935,1.2090042544025126,0.01276904646088095
1999-03-01,1.1444525840025532,1.1525943459665955,-0.00814176196404226
1999-04-01,1.2182334924532912,1.2638845983372171,-0.04565110588392596
1999-05-01,1.2170581100451994,1.2480206124694693,-0.0309625024242699
1999-06-01,1.397993403348008,1.4299153339605075,-0.031921930612499594
1999-07-01,1.2949838299043392,1.250184244730601,0.044799585173738166
1999-08-01,1.1468677462331822,1.0202853589719618,0.1265823872612204
1999-09-01,1.4314169929253495,1.2679899416831786,0.16342705124217094
1999-10-01,1.40669344776998,1.1973729876925576,0.20932046007742233
1999-11-01,1.4859492803289909,1.279980780267742,0.20596850006124878
1999-12-01,1.4395971317532563,1.2110473094498975,0.22854982230335885
