date,Headline PCE,Core PCE,Core PCE less IPE,Mkt-based core PCE less IPE
2023-05-01,2.6428915511854445,3.9720494842716114,4.187576466036935,4.2184657014298965
2023-06-01,3.1519114224845435,3.6841989078399084,3.962482087607988,3.1679303641347634
2023-07-01,2.2055707562075977,2.7981052480172686,3.0886604541345397,2.7814766790556167
2023-08-01,2.757995059285512,2.051145880519978,2.4165450411041345,2.004057070132248
2023-09-01,3.19184694643484,2.256896690964294,2.4019547506529904,2.4946640937977493
2023-10-01,2.9404999111060093,2.311584910261111,2.3738280549132185,2.652980539057115
2023-11-01,1.7406017445509514,2.308994216529414,2.4099421740768845,2.738152521501802
2023-12-01,0.7963118710192063,1.7910453416924321,2.1986424377150593,2.322760533750823
2024-01-01,2.479008417661843,3.2865587269849117,3.498354469954945,2.7161079839856495
2024-02-01,3.688004632748365,3.9209909302108548,3.825864541010704,2.769129649123858
2024-03-01,4.6082178852058675,4.783639451926236,4.488109059285694,3.5823474188457105
2024-04-01,3.685640244714672,3.6354931533267854,3.446849804501606,2.6679789481626637
2024-05-01,2.469568379871867,2.8135444280463773,3.0221911807946755,2.5533320990114072
2024-06-01,1.6387404141785744,2.2080535276007174,2.43049344184858,1.8957638466468252
2024-07-01,1.2871682174614207,2.0000452008759773,2.18211951376297,1.9403747568174756
2024-08-01,1.7659617634201208,2.4573032897354796,2.433010108798328,2.120244866231391
2024-09-01,2.0390611949799187,2.5975346545557665,2.6344869254974146,2.4548256424357318
2024-10-01,2.4729866467058326,3.031148399825523,3.188971680430641,2.944024417110591
2024-11-01,2.437025291610495,2.7370278100660395,2.905106131212931,2.7607505317251535
2024-12-01,2.651523915721321,2.386081380590732,2.6803958940589956,2.340703598887761
2025-01-01,2.9987486259927643,2.461182657318073,2.6288613042882325,2.348535375312566
2025-02-01,4.1848828611634525,3.8722914735075387,3.8683820517638967,3.0723731466292925
2025-03-01,3.1146490228744383,3.494262018327654,3.2810265986282117,2.740063149747818
2025-04-01,2.358375994688422,2.970227867869557,2.6473180647970995,2.5838055575610808
2025-05-01,1.466048665411246,2.0776017306562977,1.919791308818608,2.076284931742367
2025-06-01,2.571659276360072,2.7549886160513237,2.611333138337568,2.943217664739839
2025-07-01,2.5932140322159514,2.9906892470471735,3.1908554598907957,2.8686232870212436
2025-08-01,2.921162645628228,2.970763706349566,3.4742724116840984,3.0972782338262395
2025-09-01,2.812777026660762,2.6681965924572726,3.2832601909369874,2.8302139071191723
2025-10-01,2.9012359615501415,2.5970911602639424,3.0528392811072225,2.7653336429359188
2025-11-01,2.7267304661770186,2.4047054562263304,2.561475501906263,2.3316762553970305
2025-12-01,3.014088128053194,2.9689915312486104,2.7298175291895044,2.4281095003523046
2026-01-01,3.652623034985769,3.864815580095904,3.4902985266417996,3.0196794085336487
2026-02-01,4.400026032100701,4.76476747497574,4.0664654790872,3.81547207168782
2026-03-01,5.806095445361126,4.6356566605478156,4.008317905550562,3.7171382099077555
2026-04-01,6.07041528602128,3.8278350046768495,3.0526588927122233,3.174759341486788
2026-05-01,6.281456432090593,3.5226197405973325,3.064876643442238,2.811188219243266
