Symbol,dbsym,sector,cik,px_12m,px_ytd,px_q1,eps_ttm,eps_q
MMM,MMM,Industrials,66740,4.304291287386208,0.21865433872680917,-9.27094396201662,-34.469696969696976,-39.70588235294118
AOS,AOS,Industrials,91142,-7.394288244410008,-6.175700934579442,-1.3981308411215032,4.7486033519553175,-10.526315789473681
ABT,ABT,Health Care,1800,-30.047344661797638,-23.939502773454645,-18.121233888024257,-53.636363636363626,-19.73684210526316
ABBV,ABBV,Health Care,1551152,37.25913446351478,13.87699834017646,-5.02315017035031,-13.24786324786325,-45.83333333333333
ACN,ACN,Information Technology,1467373,-43.25467644920351,-36.01878074228648,-26.140259353107766,5.4170249355116145,3.900709219858168
ADBE,ADBE,Information Technology,796343,-43.988269794721404,-37.248235865497236,-30.563094591892114,13.342140026420052,11.11111111111111
AMD,AMD,Information Technology,2488,281.80815065470057,142.40145712684472,-5.268073977209042,122.62773722627738,90.9090909090909
AES,AES,Utilities,874761,69.4934944237918,27.17921896792188,22.820781032078095,2.1857923497267904,871.4285714285716
AFL,AFL,Financials,4977,14.26545660805445,9.652544679306896,-0.4717409053796695,36.08087091757386,3859.9999999999995
A,A,Health Care,1090872,8.353400315535996,-4.129013298067741,-16.229520240981564,21.549636803874105,60.0
APD,APD,Materials,2969,10.020664775314359,27.179238025830998,17.597878456617664,34.356725146198826,
ABNB,ABNB,Consumer Discretionary,1559720,9.999261502104705,9.723756906077341,-6.998158379373853,,
AKAM,AKAM,Information Technology,1086222,42.21635883905013,29.75296612598155,31.690261936149476,-0.671140939597316,-13.414634146341461
ALB,ALB,Materials,915913,115.57057654075544,-4.171380090497745,26.916006787330303,,
ARE,ARE,Real Estate,1035443,-11.790363709569196,7.3937908496731986,-5.187908496732019,-924.9999999999998,
ALGN,ALGN,Health Care,1097149,-5.0458243229327575,18.08170060186962,9.764374439749002,8.181818181818201,23.62204724409449
ALLE,ALLE,Industrials,1579241,-4.76158222703873,-11.713182431796042,-8.784101968417401,2.8089887640449462,-7.017543859649117
LNT,LNT,Utilities,352541,27.134941329856588,19.969242599000392,10.372933487120317,9.655172413793112,4.81927710843374
ALL,ALL,Financials,899051,25.082442290396735,20.292153188217753,-0.36519148527222045,208.7431693989072,338.3886255924171
GOOGL,GOOGL,Communication Services,1652044,104.50506891445492,14.759180542682726,-8.114672888235475,46.3169642857143,81.85053380782918
