date,Headline PCE (orig),Core PCE (orig),Core PCE less IPE (orig),Mkt-based core PCE less IPE (orig),Headline PCE (adj),Core PCE (adj),Core PCE less IPE (adj),Mkt-based core PCE less IPE (adj)
2023-05-01,2.6428915511854445,3.9720494842716114,4.187576466036935,4.2184657014298965,2.52824160374594,3.999580809814618,4.208669523184394,4.263624391602128
2023-06-01,3.1519114224845435,3.6841989078399084,3.962482087607988,3.1679303641347634,2.8281757597956814,3.589094026084072,3.8952051701267365,3.1815399206107875
2023-07-01,2.2055707562075977,2.7981052480172686,3.0886604541345397,2.7814766790556167,2.292030529953193,2.9415789530222503,3.2433669362495365,2.8832077992910765
2023-08-01,2.757995059285512,2.051145880519978,2.4165450411041345,2.004057070132248,2.915200534443163,2.2349559816812636,2.5986961021899235,2.187594674057647
2023-09-01,3.19184694643484,2.256896690964294,2.4019547506529904,2.4946640937977493,3.5572612390594394,2.4897219556195394,2.614533304549882,2.657006747192159
2023-10-01,2.9404999111060093,2.311584910261111,2.3738280549132185,2.652980539057115,3.019092922978861,2.406372841087734,2.456463919069818,2.6914086377923363
2023-11-01,1.7406017445509514,2.308994216529414,2.4099421740768845,2.738152521501802,1.9927175712350698,2.5049814260948544,2.566763753125567,2.819834105159802
2023-12-01,0.7963118710192063,1.7910453416924321,2.1986424377150593,2.322760533750823,1.2176816165335058,2.0257823920942997,2.34667948082512,2.4754389784072517
2024-01-01,2.479008417661843,3.2865587269849117,3.498354469954945,2.7161079839856495,2.697658395697955,3.206201913799389,3.3829186949825063,2.7155839729063214
2024-02-01,3.688004632748365,3.9209909302108548,3.825864541010704,2.769129649123858,3.3891873316541643,3.5084035705805094,3.4621237371552427,2.4586567394374814
2024-03-01,4.6082178852058675,4.783639451926236,4.488109059285694,3.5823474188457105,4.131958737462305,4.400830766943908,4.1882508105618,3.2508373550137026
2024-04-01,3.685640244714672,3.6354931533267854,3.446849804501606,2.6679789481626637,3.2985692974460523,3.4757644115126274,3.3237698322672315,2.5286023591407636
2024-05-01,2.469568379871867,2.8135444280463773,3.0221911807946755,2.5533320990114072,2.355112030762885,2.8407689867225416,3.0430483025335464,2.5977692735488
2024-06-01,1.6387404141785744,2.2080535276007174,2.43049344184858,1.8957638466468252,1.3197537417159122,2.114302648029387,2.3642079154116757,1.909205583316509
2024-07-01,1.2871682174614207,2.0000452008759773,2.18211951376297,1.9403747568174756,1.3728510778244996,2.1424050659761606,2.3354655381985445,2.0412733706175246
2024-08-01,1.7659617634201208,2.4573032897354796,2.433010108798328,2.120244866231391,1.9216495652760734,2.641844944020022,2.6151904535272497,2.303991528799121
2024-09-01,2.0390611949799187,2.5975346545557665,2.6344869254974146,2.4548256424357318,2.400393339621032,2.8311355062529575,2.8475481982410233,2.617105195180658
2024-10-01,2.4729866467058326,3.031148399825523,3.188971680430641,2.944024417110591,2.5512227215557237,3.12660297983276,3.272265526214091,2.9825614679954704
2024-11-01,2.437025291610495,2.7370278100660395,2.905106131212931,2.7607505317251535,2.6908668737480435,2.9338349779374218,3.062685960798661,2.842450081846648
2024-12-01,2.651523915721321,2.386081380590732,2.6803958940589956,2.340703598887761,3.0806492051902223,2.6221906244329407,2.8291307679374267,2.493408816856868
2025-01-01,2.9987486259927643,2.461182657318073,2.6288613042882325,2.348535375312566,3.218507525620984,2.3814679856799525,2.514395309153561,2.3480132394222197
2025-02-01,4.1848828611634525,3.8722914735075387,3.8683820517638967,3.0723731466292925,3.8846336122588587,3.459897460573491,3.5044922931789735,2.7609841165930904
2025-03-01,3.1146490228744383,3.494262018327654,3.2810265986282117,2.740063149747818,2.645189779075774,3.1161638481006726,2.9846324152026593,2.4112487741173805
2025-04-01,2.358375994688422,2.970227867869557,2.6473180647970995,2.5838055575610808,1.976259884264242,2.81152446963,2.5251893670042325,2.4445432378583876
2025-05-01,1.466048665411246,2.0776017306562977,1.919791308818608,2.076284931742367,1.3527132266818676,2.1046314150550582,1.9404252467168703,2.120515397947531
2025-06-01,2.571659276360072,2.7549886160513237,2.611333138337568,2.943217664739839,2.249744697842071,2.6607360573673855,2.5449305856706683,2.9567975778937106
2025-07-01,2.5932140322159514,2.9906892470471735,3.1908554598907957,2.8686232870212436,2.6800017288889144,3.134431738522858,3.3457153073686463,2.9704406632861557
2025-08-01,2.921162645628228,2.970763706349566,3.4742724116840984,3.0972782338262395,3.0786177445540686,3.1562301832835704,3.6583046743160264,3.2827828888543076
2025-09-01,2.812777026660762,2.6681965924572726,3.2832601909369874,2.8302139071191723,3.1768489887556317,2.9019583319276565,3.4976682669024983,2.9930880422991635
2025-10-01,2.9012359615501415,2.5970911602639424,3.0528392811072225,2.7653336429359188,2.9797989961830584,2.692143602159014,3.136023241203456,2.8038038010069766
2025-11-01,2.7267304661770186,2.4047054562263304,2.561475501906263,2.3316762553970305,2.9812899451849617,2.600876014078435,2.7185291257667332,2.4130346716211726
2025-12-01,3.014088128053194,2.9689915312486104,2.7298175291895044,2.4281095003523046,3.4447290839885625,3.2064450054102522,2.8786239914231793,2.580945138933566
2026-01-01,3.652623034985769,3.864815580095904,3.4902985266417996,3.0196794085336487,3.8737770459381426,3.7840088838037023,3.3748717367788394,3.0191538487702507
2026-02-01,4.400026032100701,4.76476747497574,4.0664654790872,3.81547207168782,4.0991567644977245,4.3488301517468075,3.7018817602313625,3.501838086514808
2026-03-01,5.806095445361126,4.6356566605478156,4.008317905550562,3.7171382099077555,5.324382613792089,4.253388604789876,3.7098365535509714,3.3851967549666906
2026-04-01,6.07041528602128,3.8278350046768495,3.0526588927122233,3.174759341486788,5.674441687121368,3.6678098149858007,2.9300479246721967,3.034694774350166
2026-05-01,6.281456432090593,3.5226197405973325,3.064876643442238,2.811188219243266,6.162742284333844,3.550032059189445,3.085742406968839,2.855737124888913
