date,Core PCE,Market-based core PCE,Core PCE less info proc equip,Mkt-based core PCE less info proc equip
1996-05-01,1.8643527639355728,1.655091296068112,2.1213846861255936,1.945606112304521
1996-06-01,1.8540496728999045,1.6583167734893323,2.101172025087905,1.93766031371847
1996-07-01,1.884365832863688,1.6233811592785585,2.143841103361277,1.9161291268325442
1996-08-01,1.728487609381979,1.4231750324082526,1.9684910937914912,1.6933983012818121
1996-09-01,1.9033084741858497,1.5406240431987017,2.144667623090335,1.8119108305936882
1996-10-01,1.8972525026211162,1.5024439013552549,2.133908453424649,1.7681142189367005
1996-11-01,1.964921345734294,1.5687254452820154,2.210321815646954,1.8442897762279697
1996-12-01,1.8603984520567662,1.4756872208815164,2.1390680426645936,1.7890932220675282
1997-01-01,1.8539993414365297,1.5649040127521108,2.1428529091975124,1.89090681810975
1997-02-01,1.9302259079210904,1.5667603216564352,2.2017000286149058,1.8722040803300866
1997-03-01,1.937177255998379,1.6229730103041407,2.205524218314814,1.925384732168678
1997-04-01,1.9986609114349463,1.6816576536806016,2.2486206350236237,1.9631648392840484
1997-05-01,1.8956469801902687,1.5716686410093939,2.162740608680269,1.872639425360867
1997-06-01,1.968084350532151,1.6643035116941762,2.2411732817715135,1.9723612487218878
1997-07-01,1.8466775405999725,1.5562062660672948,2.1166306372755406,1.8608108477754515
1997-08-01,1.7175410254230083,1.4774195321733963,2.008867109489354,1.806869077582296
1997-09-01,1.6205142695676855,1.4048601307548036,1.90665651991766,1.7286544849046903
1997-10-01,1.5335175057788808,1.2681605515882932,1.8245936526079642,1.5969807052671037
1997-11-01,1.431567686265689,1.1795579732925,1.7150168094371754,1.499926661321993
1997-12-01,1.4521303540271147,1.265615176448076,1.7092260631414335,1.556834302480814
1998-01-01,1.4983695041043354,1.259655539481952,1.7553111265806276,1.5502524520405014
1998-02-01,1.3774722962547337,1.2169030974476414,1.6540993727301112,1.530882120723187
1998-03-01,1.24405261684859,1.0615307245864791,1.5127512697908463,1.3663118679557495
