date,yoy_pct
1996-05-01,1.945606112304521
1996-06-01,1.93766031371847
1996-07-01,1.9161291268325442
1996-08-01,1.6933983012818121
1996-09-01,1.8119108305936882
1996-10-01,1.7681142189367005
1996-11-01,1.8442897762279697
1996-12-01,1.7890932220675282
1997-01-01,1.89090681810975
1997-02-01,1.8722040803300866
1997-03-01,1.925384732168678
1997-04-01,1.9631648392840484
1997-05-01,1.872639425360867
1997-06-01,1.9723612487218878
1997-07-01,1.8608108477754515
1997-08-01,1.806869077582296
1997-09-01,1.7286544849046903
1997-10-01,1.5969807052671037
1997-11-01,1.499926661321993
1997-12-01,1.556834302480814
1998-01-01,1.5502524520405014
1998-02-01,1.530882120723187
1998-03-01,1.3663118679557495
1998-04-01,1.3196356896064687
1998-05-01,1.3563046276335644
1998-06-01,1.0491412196033334
1998-07-01,1.3377316343504697
1998-08-01,1.6082589192367047
1998-09-01,1.3883554042915636
1998-10-01,1.5329055768165123
1998-11-01,1.546980822640509
1998-12-01,1.6420478803884198
1999-01-01,1.669100555672709
1999-02-01,1.5220523929113439
1999-03-01,1.4684786309720588
1999-04-01,1.5766059506979735
1999-05-01,1.5413855771153617
1999-06-01,1.7177616345875224
1999-07-01,1.5132473531711765
1999-08-01,1.2600345849796746
1999-09-01,1.4989607419813478
1999-10-01,1.4292020811852657
1999-11-01,1.504089581753254
1999-12-01,1.4159524055692652
2000-01-01,1.490283554954308
2000-02-01,1.6598394054216925
2000-03-01,1.7830912285595302
2000-04-01,1.5634959922639746
2000-05-01,1.5474172939198505
2000-06-01,1.509073139069761
2000-07-01,1.686805328451535
2000-08-01,1.8433196434128662
2000-09-01,1.81549700542456
2000-10-01,1.8493226080981362
2000-11-01,1.9079172523807753
2000-12-01,1.8408175546894778
2001-01-01,1.8953279051799
2001-02-01,1.9144624598572024
2001-03-01,1.872926080408921
2001-04-01,2.015958580265953
2001-05-01,1.9497740669917496
2001-06-01,2.1761821305791296
2001-07-01,2.1053634645255004
2001-08-01,2.0282428957558274
2001-09-01,1.9297971224423893
2001-10-01,1.8730733948953526
2001-11-01,1.9635179759856847
2001-12-01,1.9586254018084226
2002-01-01,1.6699227065206435
2002-02-01,1.6508896998139955
2002-03-01,1.579721050750993
2002-04-01,1.6508026059514957
2002-05-01,1.724397745517603
2002-06-01,1.6165735598911324
2002-07-01,1.5565391403669526
2002-08-01,1.6893267124080902
2002-09-01,1.7677639287369873
2002-10-01,1.7189309257411356
2002-11-01,1.5878667521485479
2002-12-01,1.65523328352295
2003-01-01,1.6995774512735151
2003-02-01,1.6341451804386065
2003-03-01,1.6536633415952906
2003-04-01,1.4788327953555669
2003-05-01,1.572578413903103
2003-06-01,1.5142601214723994
2003-07-01,1.5919689420704985
2003-08-01,1.5002182337660486
2003-09-01,1.3656378133169556
2003-10-01,1.4489220944481573
2003-11-01,1.4080103383696585
2003-12-01,1.3942127212440703
2004-01-01,1.5805058934311056
2004-02-01,1.6830252485398267
2004-03-01,1.7927615596797342
2004-04-01,1.906523849818309
2004-05-01,1.860885176248006
2004-06-01,1.9630128603060237
2004-07-01,1.8386459394860166
2004-08-01,1.768553093432934
2004-09-01,1.8830465965777643
2004-10-01,1.9371201504100322
2004-11-01,2.0545308490083514
2004-12-01,2.063497801068359
2005-01-01,2.096306267356307
2005-02-01,2.106236319361199
2005-03-01,2.1225125901999986
2005-04-01,2.034353634767494
2005-05-01,2.120170466216864
2005-06-01,2.0252169345486237
