Symbol,dbsym,sector,cik,yoy_price,yoy_eps
MMM,MMM,Industrials,66740,4.304291287386208,-39.70588235294118
AOS,AOS,Industrials,91142,-7.394288244410008,-10.526315789473681
ABT,ABT,Health Care,1800,-30.047344661797638,-19.73684210526316
ABBV,ABBV,Health Care,1551152,37.25913446351478,-45.83333333333333
ACN,ACN,Information Technology,1467373,-43.25467644920351,3.900709219858168
ADBE,ADBE,Information Technology,796343,-43.988269794721404,11.11111111111111
AMD,AMD,Information Technology,2488,281.80815065470057,90.9090909090909
AES,AES,Utilities,874761,69.4934944237918,871.4285714285716
AFL,AFL,Financials,4977,14.26545660805445,3859.9999999999995
A,A,Health Care,1090872,8.353400315535996,60.0
AKAM,AKAM,Information Technology,1086222,42.21635883905013,-13.414634146341461
ALGN,ALGN,Health Care,1097149,-5.0458243229327575,23.62204724409449
ALLE,ALLE,Industrials,1579241,-4.76158222703873,-7.017543859649117
LNT,LNT,Utilities,352541,27.134941329856588,4.81927710843374
ALL,ALL,Financials,899051,25.082442290396735,338.3886255924171
GOOGL,GOOGL,Communication Services,1652044,104.50506891445492,81.85053380782918
GOOG,GOOG,Communication Services,1652044,100.48617785064167,81.85053380782918
MO,MO,Consumer Staples,764180,25.03009458297507,106.34920634920636
AMZN,AMZN,Consumer Discretionary,1018724,10.11113631208891,74.84276729559747
AEE,AEE,Utilities,1002910,19.345299854741647,19.62616822429906
AEP,AEP,Utilities,4904,32.75531711055757,6.666666666666672
AXP,AXP,Financials,4962,9.111910446835548,17.582417582417587
AIG,AIG,Financials,5272,-7.512229210342425,21.551724137931036
AMT,AMT,Real Estate,1053507,-26.07833967978267,76.92307692307693
AWK,AWK,Utilities,1410636,-4.015148858575579,-4.761904761904765
AMP,AMP,Financials,820027,-9.183256574060328,66.0377358490566
AME,AME,Industrials,1037868,28.175708900180286,14.473684210526313
AMGN,AMGN,Health Care,318154,28.706635462555074,4.37499999999999
APH,APH,Information Technology,820313,67.99137399876773,24.13793103448276
ADI,ADI,Information Technology,6281,56.91361104182258,110.5263157894737
AON,AON,Financials,315293,0.11485880770956136,27.0880361173815
APA,APA,Energy,1841666,70.9081309398099,31.250000000000007
APO,APO,Financials,1858681,-16.272502647370292,-580.8823529411765
AAPL,AAPL,Information Technology,320193,47.23337155963303,21.818181818181813
AMAT,AMAT,Information Technology,6951,229.8530212302668,33.460076045627375
APP,APP,Information Technology,1751008,144.5111632325871,113.1736526946108
ACGL,ACGL,Financials,947484,11.741554608068206,94.5945945945946
ADM,ADM,Consumer Staples,7084,41.061426866219804,1.6393442622950833
ANET,ANET,Information Technology,1596532,61.7858226312064,25.000000000000007
AJG,AJG,Financials,354190,-21.12460103886351,16.176470588235293
AIZ,AIZ,Financials,1267238,41.357681218068684,91.16607773851591
T,T,Communication Services,732717,-28.675450762829403,-11.475409836065566
ATO,ATO,Utilities,731802,15.01333506797633,14.521452145214536
ADSK,ADSK,Information Technology,769397,-33.419988445984984,231.42857142857142
ADP,ADP,Industrials,8670,-21.89263259713041,10.457516339869276
AZO,AZO,Consumer Discretionary,866787,-15.002207018318249,7.664027149321269
AVB,AVB,Real Estate,915912,-4.62862764387606,40.361445783132545
AVY,AVY,Materials,8818,-7.840485718228241,4.306220095693795
AXON,AXON,Industrials,1069183,2.690966624103064,89.81481481481478
BALL,BALL,Materials,9389,9.51187904967603,22.222222222222225
BAC,BAC,Financials,70858,21.839319078264463,24.719101123595514
BAX,BAX,Health Care,10456,-3.3098441170190007,-112.00000000000001
BDX,BDX,Health Care,10795,11.22446107952948,-203.73831775700936
BBY,BBY,Consumer Discretionary,764478,10.317011038777245,37.894736842105274
TECH,TECH,Health Care,842023,36.044948136765264,128.57142857142856
BIIB,BIIB,Health Care,875045,66.25384615384615,31.097560975609756
BLK,BLK,Financials,2012383,-5.6072238619001125,45.850622406639005
BX,BX,Financials,1393818,-19.65442764578833,3.7499999999999893
XYZ,XYZ,Financials,1512673,15.438699282261625,-273.33333333333337
BSX,BSX,Health Care,885725,-46.16945107398569,100.0
BMY,BMY,Health Care,14272,23.051673019906826,9.166666666666675
AVGO,AVGO,Information Technology,1730168,35.42842097344467,85.43689320388349
BR,BR,Industrials,1383312,-41.20350511673509,15.1219512195122
BRO,BRO,Financials,79282,-35.787058283616346,-7.826086956521728
BLDR,BLDR,Industrials,1316835,-33.26110936022692,-151.1904761904762
BG,BG,Consumer Staples,1996862,32.67289719626167,-76.35135135135135
BXP,BXP,Real Estate,1037540,1.6950396243029076,64.1025641025641
CHRW,CHRW,Industrials,1043277,93.09257375381486,9.909909909909898
CDNS,CDNS,Information Technology,813672,20.568934863423305,23.0
CPT,CPT,Real Estate,906345,3.819260046025841,11.111111111111121
COF,COF,Financials,927628,-4.705581633127299,-3.188405797101458
CARR,CARR,Industrials,1783180,-5.685641232673944,-40.42553191489361
CAT,CAT,Industrials,18230,145.9309290174589,30.238095238095227
CBOE,CBOE,Financials,1374310,7.527949238140463,54.43037974683544
CBRE,CBRE,Real Estate,1138118,-0.01765287388787451,98.14814814814815
CDW,CDW,Information Technology,1402057,-7.992436789223801,7.6923076923077
COR,COR,Health Care,1140859,25.558753809685065,128.2608695652174
CNC,CNC,Health Care,1071739,19.738700564971733,18.250950570342205
CNP,CNP,Utilities,1130310,21.99726402188784,6.66666666666666
CF,CF,Materials,1324404,19.559809647415104,115.13513513513512
CRL,CRL,Health Care,1100682,49.303756476683944,-160.0
SCHW,SCHW,Financials,316709,6.315789473684208,38.383838383838395
CHTR,CHTR,Communication Services,1091667,-45.35440727545173,8.907363420427554
CVX,CVX,Energy,93410,16.2899347303332,-44.49999999999999
CMG,CMG,Consumer Discretionary,1058090,-24.040443070582185,-17.85714285714286
CB,CB,Financials,896159,24.746149064032586,78.72340425531914
CHD,CHD,Consumer Staples,313927,0.9832036050798854,2.247191011235957
CIEN,CIEN,Information Technology,936395,424.30408188740483,2383.333333333333
CI,CI,Health Care,1739940,7.519665609858239,29.072164948453615
CTAS,CTAS,Industrials,723254,-19.149647730313024,9.734513274336292
CSCO,CSCO,Information Technology,858877,63.08248914616499,37.096774193548384
CFG,CFG,Financials,759944,53.95792669702884,46.753246753246735
CLX,CLX,Consumer Staples,21076,-21.272462360369115,2.6666666666666687
CME,CME,Financials,1156375,-14.064712931691915,21.37404580152672
CMS,CMS,Utilities,811156,10.791161796151094,8.910891089108919
KO,KO,Consumer Staples,21344,16.95033482142856,18.181818181818183
CTSH,CTSH,Information Technology,1058290,-47.79338637493784,3.731343283582076
COIN,COIN,Financials,1679788,-50.634192818436254,-720.8333333333334
CL,CL,Consumer Staples,21665,3.335868738454839,-5.882352941176463
CMCSA,CMCSA,Communication Services,1166691,-34.599504541701066,-32.58426966292135
FIX,FIX,Industrials,1035983,233.56493904776508,121.26315789473682
COP,COP,Energy,1163165,13.850837138508364,-20.179372197309416
ED,ED,Utilities,1047862,13.079289471072752,12.888888888888891
CEG,CEG,Utilities,1868275,-22.194797180994453,1081.578947368421
COO,COO,Health Care,711404,1.8953440461475068,-190.9090909090909
CPRT,CPRT,Industrials,900075,-39.542615353616775,2.380952380952383
GLW,GLW,Information Technology,24741,275.85092222856053,138.88888888888889
CPAY,CPAY,Financials,1175454,4.038958164244089,49.11764705882354
CTVA,CTVA,Materials,1755672,14.280005328360224,12.631578947368432
COST,COST,Consumer Staples,909832,-3.6779324055665974,15.186915887850455
CSX,CSX,Industrials,277948,45.96774193548387,26.470588235294105
CMI,CMI,Industrials,26172,100.68563800740247,-20.973154362416107
CVS,CVS,Health Care,64803,50.524651430214185,63.120567375886516
DHR,DHR,Health Care,313616,-1.591406405410789,9.84848484848484
DRI,DRI,Consumer Discretionary,940944,-6.941659070191442,-3.2846715328467257
DDOG,DDOG,Information Technology,1561550,96.61478011183316,114.28571428571426
DVA,DVA,Health Care,927066,59.975470155355694,43.50000000000001
DE,DE,Industrials,315189,21.51094143576826,-1.355421686746986
DELL,DELL,Information Technology,1571996,223.61590274355186,282.4817518248175
DAL,DAL,Industrials,27904,89.3265306122449,-218.91891891891896
DVN,DVN,Energy,1090012,23.988970588235283,-75.32467532467533
DXCM,DXCM,Health Care,1093557,-14.742132344142632,88.88888888888889
FANG,FANG,Energy,1539838,22.73148808674559,-98.34368530020704
DLR,DLR,Real Estate,1297996,1.2437956204379486,70.37037037037037
DG,DG,Consumer Staples,29534,2.42781583282754,12.359550561797752
DLTR,DLTR,Consumer Staples,935703,22.380999310140925,9.316770186335397
D,D,Utilities,715957,20.980052038161332,-10.389610389610398
DPZ,DPZ,Consumer Discretionary,1286681,-31.946826289746475,-4.6189376443418055
DASH,DASH,Consumer Discretionary,1792789,0.8758112280259578,-4.545454545454549
DOV,DOV,Industrials,29905,14.777610657498919,4.790419161676651
DHI,DHI,Consumer Discretionary,882184,18.461538461538463,-13.178294573643404
DTE,DTE,Utilities,936340,16.28591926896499,-44.39252336448599
DUK,DUK,Utilities,1326160,8.991504752292045,11.93181818181818
ETN,ETN,Industrials,1551182,12.247599200202774,-9.387755102040815
EBAY,EBAY,Consumer Discretionary,1065088,50.91004665221104,6.666666666666672
ECL,ECL,Materials,31462,3.9212090088768248,7.801418439716319
EIX,EIX,Utilities,827052,43.026004728132385,-63.17204301075269
EW,EW,Health Care,1099800,22.253886010362688,8.196721311475418
ELV,ELV,Health Care,1156039,5.475264035575322,-16.75338189386056
EME,EME,Industrials,105634,45.76882170790704,30.038022813688215
ETR,ETR,Utilities,65984,39.54418717420294,1.2195121951219523
EOG,EOG,Energy,821189,7.923407065037957,39.622641509433976
EQT,EQT,Energy,33213,-5.581478822684849,489.99999999999994
EFX,EFX,Industrials,33185,-34.83654683889541,33.96226415094338
EQIX,EQIX,Real Estate,1101239,25.865319357514526,20.000000000000004
EQR,EQR,Real Estate,906107,3.814126394052031,-64.17910447761194
ESS,ESS,Real Estate,920522,4.711251535896066,-47.784810126582286
EL,EL,Consumer Staples,1001250,22.8567234292425,-45.45454545454546
EG,EG,Financials,1095073,8.979945131522982,230.81632653061223
EVRG,EVRG,Utilities,1711269,26.90757270371438,18.518518518518512
ES,ES,Utilities,72741,15.339324449953494,7.33333333333334
EXC,EXC,Utilities,1109357,10.248733302625501,0.0
EXPD,EXPD,Industrials,746515,41.91662430096594,16.3265306122449
EXR,EXR,Real Estate,1289490,-0.8104696738191697,-10.937500000000009
XOM,XOM,Energy,34088,25.260845689181764,-43.18181818181818
FFIV,FFIV,Information Technology,1048695,37.903770779835114,4.032258064516133
FDS,FDS,Financials,1013237,-44.42494000533286,-4.521276595744679
FICO,FICO,Information Technology,814547,-31.009675422688908,69.04400606980275
FAST,FAST,Industrials,815556,13.29446064139943,15.384615384615378
FRT,FRT,Real Estate,34903,29.18479991508334,151.3888888888889
FDX,FDX,Industrials,1048911,66.96003755147326,17.2872340425532
FIS,FIS,Financials,1136893,-49.27773731488225,2953.333333333333
FITB,FITB,Financials,35527,34.58549222797929,-78.87323943661971
FSLR,FSLR,Information Technology,1274494,37.45936330736674,65.12820512820514
FE,FE,Utilities,1031296,20.103986135181962,12.903225806451607
F,F,Consumer Discretionary,37996,18.201948627103647,425.0
FTNT,FTNT,Information Technology,1262039,103.33886556672849,28.57142857142855
FTV,FTV,Industrials,1659166,17.880670054583092,-12.0
FOXA,FOXA,Communication Services,1754301,26.116669644452383,-49.333333333333336
FOX,FOX,Communication Services,1754301,-2.034883720930236,-49.333333333333336
BEN,BEN,Financials,38777,40.09860312243221,88.46153846153845
FCX,FCX,Materials,831259,73.01033151680289,154.16666666666669
GRMN,GRMN,Consumer Discretionary,1121788,13.64432867629648,21.511627906976738
IT,IT,Information Technology,749251,-44.13081445403784,17.343173431734325
GE,GE,Industrials,40545,51.519043223502045,-1.0928961748633887
GEHC,GEHC,Health Care,1932393,-13.653719552337073,-30.89430894308943
GEV,GEV,Industrials,1996810,120.00948597853798,1816.4835164835165
GNRC,GNRC,Industrials,1474735,72.31199290925207,69.86301369863014
GIS,GIS,Consumer Staples,40704,-29.366422259823267,-50.0
GM,GM,Consumer Discretionary,1467858,45.98076923076921,-15.820895522388067
GPC,GPC,Consumer Discretionary,40987,5.856538737732375,-2.142857142857129
GILD,GILD,Health Care,882095,17.47225205871823,54.807692307692314
GPN,GPN,Financials,1123360,-4.11075872163943,-631.4516129032259
GL,GL,Financials,320335,44.59351221465759,12.624584717607986
GDDY,GDDY,Information Technology,1609711,-50.40367795469838,5.960264900662257
GS,GS,Financials,886982,44.4942182214485,24.291784702549588
HAL,HAL,Energy,45012,55.37735849056604,129.16666666666669
HIG,HIG,Financials,874766,8.863259341180196,41.39534883720931
HAS,HAS,Consumer Discretionary,46080,4.1433952461358725,98.57142857142857
HCA,HCA,Health Care,860730,5.315900225826309,10.852713178294577
DOC,DOC,Real Estate,765880,22.31543624161074,366.66666666666674
HSIC,HSIC,Health Care,1000228,16.084854994629417,4.545454545454549
HLT,HLT,Consumer Discretionary,1585689,25.795053003533553,34.95934959349593
HD,HD,Consumer Discretionary,354950,-4.110727014497417,-4.347826086956532
HON,HON,Industrials,773840,-3.685534591194961,-41.891891891891895
HRL,HRL,Consumer Staples,48465,-18.54024112088628,-12.121212121212132
HST,HST,Real Estate,1070750,47.22572509457756,105.71428571428572
HWM,HWM,Industrials,4281,53.42978723404257,71.42857142857143
HPQ,HPQ,Information Technology,47217,-14.039215686274497,16.666666666666668
HUBB,HUBB,Industrials,48898,18.574280080815942,12.541254125412554
HUM,HUM,Health Care,49071,95.17144440924928,-4.563106796116511
HBAN,HBAN,Financials,49196,4.045401629802092,-26.470588235294123
HII,HII,Industrials,1501585,18.375842742263004,0.0
IBM,IBM,Information Technology,51143,-0.9838092131243092,14.285714285714276
IEX,IEX,Industrials,832101,24.23838854669551,27.777777777777786
IDXX,IDXX,Health Care,874716,2.981364172068357,17.229729729729737
ITW,ITW,Industrials,49826,6.880266509896127,11.764705882352953
INCY,INCY,Health Care,879169,69.91999999999999,83.74999999999999
IR,IR,Industrials,1699150,-5.451987337319741,6.521739130434775
PODD,PODD,Health Care,1145197,-45.13740661686232,160.0
IBKR,IBKR,Financials,1381197,62.151606603941076,22.916666666666664
ICE,ICE,Financials,1571949,-26.877165960723904,79.71014492753625
INTU,INTU,Information Technology,896878,-64.48318547555189,10.678642714570861
ISRG,ISRG,Health Care,1035267,-20.801264175497302,18.749999999999993
IVZ,IVZ,Financials,914208,67.0068027210884,34.21052631578947
INVH,INVH,Real Estate,1687229,-6.922842329978652,-3.703703703703707
IQV,IQV,Health Care,1478242,27.420346906138505,15.000000000000014
IRM,IRM,Real Estate,1020569,17.2370659461623,860.0
JBHT,JBHT,Industrials,728535,89.0804407531187,27.35042735042736
JBL,JBL,Information Technology,898293,57.94686661112654,96.22641509433963
JKHY,JKHY,Financials,779152,-19.26182237600922,12.499999999999996
J,J,Industrials,52988,-3.5851617281158044,-666.6666666666667
JNJ,JNJ,Health Care,200406,68.54429973696028,-52.863436123348016
JCI,JCI,Industrials,833444,34.51505016722409,38.88888888888889
JPM,JPM,Financials,19617,15.131057761857193,17.15976331360947
KVUE,KVUE,Consumer Staples,1944048,-5.44152744630072,47.058823529411754
KDP,KDP,Consumer Staples,1418135,-0.8189398451459162,-47.368421052631575
KEY,KEY,Financials,91576,28.575418994413425,33.33333333333333
KEYS,KEYS,Information Technology,1601046,90.86900997324253,35.570469798657726
KMB,KMB,Consumer Staples,55785,-12.88362199939227,17.647058823529417
KMI,KMI,Energy,1506307,13.201553123896947,37.5
KHC,KHC,Consumer Staples,1637459,-4.624060150375941,13.559322033898319
LHX,LHX,Industrials,202058,19.687599111956857,33.33333333333334
LH,LH,Health Care,920148,8.566833790559091,32.936507936507944
LRCX,LRCX,Information Technology,707549,263.7227559136453,40.776699029126206
LVS,LVS,Consumer Discretionary,1300514,-0.85443037974684,73.46938775510205
LDOS,LDOS,Industrials,1336920,-32.412122717674826,-7.581227436823103
LEN,LEN,Consumer Discretionary,920760,-23.656193196572318,-52.551020408163254
LII,LII,Industrials,1069202,-4.796980174040854,-7.713498622589526
