date,Core PCE,Market-based core PCE,Core PCE less info proc equip,Mkt-based core PCE less info proc equip
1996-05-01,2.185254826053029,1.9349646079557692,2.493790213671021,2.2837370885601116
1996-06-01,1.55530797827661,1.3605152315373514,1.8210594032137095,1.661068630820206
1996-07-01,1.766645475662787,1.4034192033905546,1.991957263576527,1.6564118604277756
1996-08-01,1.4124458835549802,0.9066726641379752,1.59727727872363,1.1124896845871035
1996-09-01,2.3335338297016506,1.7625604814573315,2.5301932302713714,1.981396215824005
1996-10-01,2.5370837883980313,1.9776288424843136,2.719088505364242,2.1798997091840855
1996-11-01,2.7198231475689782,2.222737878924108,2.9797861893901434,2.5137868193630952
1996-12-01,1.6375391791806582,1.1286337001710223,1.978936665453035,1.5115299741392363
1997-01-01,1.1096222437135816,0.9665745204415765,1.4918076565055394,1.4000221086425624
1997-02-01,1.4093956222013704,1.2082298187831908,1.7421406588628452,1.5848964702357637
1997-03-01,2.2246595324150853,2.243712301616685,2.493804436878655,2.550655367745569
1997-04-01,2.588569019568121,2.384765403334299,2.7973125555123213,2.6206899307771536
1997-05-01,2.0466635936246425,1.9546704891916455,2.337596493559091,2.2854855145418407
1997-06-01,1.6785292556243725,1.5255108888158286,1.9631935976250459,1.8486170224620402
1997-07-01,1.1614491954549333,0.9039121410377771,1.4663414026182098,1.2488418214946506
1997-08-01,0.7052573337400281,0.5326654165886069,0.9865714610664877,0.8516241085598342
1997-09-01,0.9453884748695351,0.7277535813869918,1.1949147976642038,1.0099721853411348
1997-10-01,1.2817568657231382,0.8255778067701502,1.5490798705420472,1.1253790775670014
1997-11-01,1.5695207443957138,1.0278148456236202,1.7983148894315404,1.2830716915162022
1997-12-01,0.9655631686235955,0.5743141540925256,1.1909483389583864,0.8274517004074999
1998-01-01,0.9696898805515053,0.9326600596555767,1.215865067891464,1.2136001132356355
1998-02-01,1.1932343625552289,1.3577353939834946,1.4986248066118257,1.7088786679940515
1998-03-01,1.388587341714298,1.421977993405621,1.7041347185529965,1.7832707453958374
1998-04-01,1.5152511497961818,1.3872687870011724,1.7825926509420054,1.6916698395427865
1998-05-01,1.5587303133159702,1.3096303945913323,1.8006965331346159,1.5837978973217037
1998-06-01,0.6206600849273602,0.3016020480044901,0.8668668248987821,0.5798683221160061
1998-07-01,1.0137370116025668,0.948921094604227,1.3394386028326766,1.3211944052594626
1998-08-01,1.4133175291179745,1.4300809948290194,1.7865970681635535,1.8581684584846103
1998-09-01,1.8565374580681748,1.9165930082534421,2.254083738996182,2.373147918594598
1998-10-01,1.50570999741928,1.5363289670004443,1.8284445601380872,1.9066924704296717
1998-11-01,0.7879563816381996,0.7509387340159712,1.039645021401503,1.038964698946221
1998-12-01,1.553025601179825,1.58766567561075,1.773283848821161,1.8404016296516224
1999-01-01,1.3393316596739036,1.4494657028487623,1.60740839639808,1.7577604509263711
1999-02-01,1.1288046018555375,1.3467914223151523,1.3557803764499887,1.6090427441321165
1999-03-01,0.5539963030027462,0.8124933209271878,0.7937813662149074,1.089807929356268
1999-04-01,1.0150462240768876,1.1219487175514908,1.1890139384416187,1.3221139828972994
1999-05-01,1.5398080867020436,1.4659413519526154,1.7111188640489328,1.6611997740892726
1999-06-01,1.6333712885047147,1.4060853744028323,1.780265189626018,1.5719163020346594
1999-07-01,1.3204667642674917,0.8943012161676256,1.4765747995678424,1.0686336945535446
1999-08-01,1.1323041565484582,0.5205763166712618,1.324334680621253,0.7339368576252836
1999-09-01,1.990902829286778,1.2673404546803546,2.1966195876956585,1.4951432933991704
1999-10-01,1.954219289341519,1.3246526209309328,2.1740307640724987,1.5696272971183367
1999-11-01,2.1462810627630446,1.7909525590378061,2.3463814430537244,2.0165806692286514
1999-12-01,1.5857893491463493,1.3593687825991685,1.717041660321339,1.5076597940530512
2000-01-01,1.867925071263743,1.8755757445092502,1.9789276938935618,2.003099294203192
2000-02-01,2.0744587884680143,2.103848946258058,2.187543611451881,2.234123072043892
2000-03-01,2.3954946753379502,2.3584017996020945,2.5726135216127988,2.5616085763298546
2000-04-01,1.6846980898836295,1.3830943832031206,1.889066167868103,1.614794987929713
2000-05-01,1.5244616641204578,1.0370722376167985,1.681220474973344,1.212250713150964
2000-06-01,1.0014863562806564,0.2882238943313409,1.1769568469204295,0.4825271505401352
2000-07-01,1.661349406783108,1.3783285570017734,1.8220247738516049,1.560362382844227
2000-08-01,1.7463305827511766,1.6895808237842758,1.9410071361668502,1.9132065168640633
2000-09-01,2.4242796971200464,2.545288920487776,2.580231738592298,2.7262309558286235
